epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8808,2.63302,5.78895,0.03434,0,0,0,0,nan,nan,nan,0.0706,0.00326667,0.00326667
2,23.6299,2.48147,3.48489,0.03178,0.0412,0.13376,0.02676,0.00621,nan,nan,nan,0.0405673,0.00656733,0.00656733
3,34.1579,2.40999,3.12207,0.02982,0.08858,0.21656,0.14511,0.05284,2.21275,3.25792,0.03276,0.0105017,0.00983499,0.00983499
4,44.6699,2.37177,2.95754,0.02972,0.28641,0.33529,0.20525,0.07095,2.35752,3.11068,0.03698,0.0098515,0.0098515,0.0098515
5,55.195,2.32628,2.78843,0.02918,0.23984,0.21717,0.18259,0.06684,1.78224,2.52223,0.02472,0.009802,0.009802,0.009802
6,65.8047,2.23959,2.77619,0.02732,0.24213,0.38812,0.2521,0.07946,1.71726,2.4052,0.0228,0.0097525,0.0097525,0.0097525
7,76.3121,2.28299,2.70985,0.02821,0.19995,0.44128,0.27911,0.10389,1.68331,2.26032,0.02214,0.009703,0.009703,0.009703
8,86.8473,2.20804,2.64446,0.0275,0.28313,0.6461,0.40259,0.1876,1.53799,1.82283,0.02022,0.0096535,0.0096535,0.0096535
9,97.3424,2.19686,2.61338,0.02739,0.40445,0.74637,0.53866,0.24953,1.65308,1.65923,0.02193,0.009604,0.009604,0.009604
10,107.846,2.16147,2.52086,0.02723,0.39399,0.57888,0.47828,0.22005,1.57746,1.5964,0.02083,0.0095545,0.0095545,0.0095545
11,118.468,2.14591,2.40098,0.02632,0.20904,0.5337,0.4711,0.21344,1.57347,1.78923,0.02156,0.009505,0.009505,0.009505
12,129.006,2.06835,2.49495,0.02507,0.5129,0.65326,0.55336,0.25966,1.73362,1.56064,0.02509,0.0094555,0.0094555,0.0094555
13,139.538,2.05946,2.32704,0.02499,0.42178,0.63418,0.58727,0.29783,1.52012,1.52747,0.02006,0.009406,0.009406,0.009406
14,150.068,2.06065,2.36967,0.02468,0.50772,0.65166,0.57166,0.28387,1.50368,1.54668,0.0202,0.0093565,0.0093565,0.0093565
15,160.666,2.0266,2.30121,0.02353,0.49124,0.71598,0.60797,0.33039,1.46717,1.41244,0.01962,0.009307,0.009307,0.009307
16,171.22,2.01459,2.21855,0.02462,0.47604,0.66314,0.51545,0.24071,1.52039,1.64863,0.02087,0.0092575,0.0092575,0.0092575
17,181.763,1.99587,2.19858,0.02354,0.63055,0.60941,0.64176,0.36323,1.43359,1.64695,0.01987,0.009208,0.009208,0.009208
18,192.325,1.98269,2.19618,0.02412,0.44347,0.70149,0.60209,0.34293,1.34132,1.47951,0.01795,0.0091585,0.0091585,0.0091585
19,202.855,1.95985,2.1225,0.02329,0.55437,0.54344,0.59303,0.28139,1.67287,1.63321,0.02688,0.009109,0.009109,0.009109
20,213.402,2.00726,2.1144,0.02454,0.65516,0.74252,0.80025,0.41394,1.54406,1.57783,0.02012,0.0090595,0.0090595,0.0090595
21,223.969,2.02035,1.97656,0.02482,0.63291,0.72268,0.76323,0.44054,1.33575,1.64522,0.0168,0.00901,0.00901,0.00901
22,234.643,1.94812,2.05717,0.02365,0.71714,0.72628,0.80597,0.40526,1.56206,1.44911,0.02023,0.0089605,0.0089605,0.0089605
23,245.205,1.98725,2.00586,0.02403,0.67851,0.7768,0.82243,0.36922,1.55539,1.52547,0.02055,0.008911,0.008911,0.008911
24,255.744,1.92749,1.93479,0.02309,0.66491,0.74883,0.79639,0.40606,1.58611,1.46564,0.02204,0.0088615,0.0088615,0.0088615
25,266.279,1.9576,1.92355,0.02305,0.79414,0.61224,0.77647,0.42091,1.48918,1.56143,0.02047,0.008812,0.008812,0.008812
26,276.913,1.89684,1.91423,0.02277,0.40732,0.55765,0.52015,0.2524,1.56908,1.80451,0.02265,0.0087625,0.0087625,0.0087625
27,287.462,1.86042,1.83963,0.02199,0.77135,0.78028,0.85737,0.48301,1.43055,1.29741,0.01959,0.008713,0.008713,0.008713
28,298.033,1.91093,1.87765,0.02264,0.82165,0.77309,0.83774,0.48126,1.4117,1.35084,0.01839,0.0086635,0.0086635,0.0086635
29,308.656,1.86019,1.84909,0.02217,0.73818,0.73367,0.81298,0.43399,1.52835,1.39209,0.02322,0.008614,0.008614,0.008614
30,319.287,1.84026,1.77871,0.02186,0.86125,0.84275,0.8998,0.54094,1.31738,1.20702,0.01735,0.0085645,0.0085645,0.0085645
31,329.787,1.7763,1.67064,0.02068,0.84598,0.79538,0.88296,0.51684,1.3182,1.17571,0.01733,0.008515,0.008515,0.008515
32,340.346,1.88163,1.75256,0.02173,0.78123,0.79506,0.87597,0.52569,1.3317,1.32046,0.01709,0.0084655,0.0084655,0.0084655
33,350.929,1.93763,1.83465,0.0235,0.59637,0.83657,0.81796,0.48743,1.43007,1.08872,0.0188,0.008416,0.008416,0.008416
34,361.539,1.78903,1.64686,0.02097,0.79768,0.72643,0.83027,0.4588,1.55061,1.22593,0.02259,0.0083665,0.0083665,0.0083665
35,372.027,1.79189,1.63547,0.02094,0.68042,0.72035,0.77848,0.33643,1.66597,1.29074,0.02552,0.008317,0.008317,0.008317
36,382.596,1.80446,1.65955,0.02123,0.63684,0.73235,0.72214,0.40258,1.56987,1.47524,0.02209,0.0082675,0.0082675,0.0082675
